id,source_url,brand,model,year,mileage,fuel_type,transmission,price,color,body_type,image_url,scraped_at,damage_records,engine_power
782ca848-88dd-4f40-a35f-25ffdffefa82,https://www.arabam.com/ilan/galeriden-satilik-bmw-5-serisi-520i-m-sport/boyasiz-carbonshwarz-ilk-sahip-yetkili-bakimli-next100-bowrs/37827765,BMW,520i M Sport,2017,212000,Benzin,Otomatik,2500000,Lacivert,Sedan,https://arbstorage.mncdn.com/ilanfotograflari/2026/02/12/37827765/06e16777-9a82-484a-98bd-45dbb417cdfb_image_for_silan_37827765_580x435.jpg,2026-03-14 10:07:14.529777+00,Tamamı orjinal,151 - 175 HP
fdf25095-3265-460a-b161-95894f2bb7fc,https://www.arabam.com/ilan/sahibinden-satilik-bmw-4-serisi-430i-xdrive-luxury-line/bmw-430i-xdrive-cabrio-full-paket-luxury-line/38699915,BMW,430i xDrive Luxury Line,2018,122000,60 lt,Otomatik,3850000,Lacivert,-,https://arbstorage.mncdn.com/ilanfotograflari/2026/03/13/38699915/eef07f27-9b15-4a03-8822-40bdace86ad5_image_for_silan_38699915_580x435.jpg,2026-03-14 10:07:19.623841+00,1 boyalı,252 hp
8dc6df2d-d84c-4f70-b53b-c238f0d87eb5,https://www.arabam.com/ilan/galeriden-satilik-bmw-1-serisi-118i-one-edition/hatasiz-boyasiz-full-servis-bakimli-borusan-sunroof/38286875,BMW,118i One Edition,2019,125000,52 lt,Otomatik,1595000,Beyaz,Hatchback/5,https://arbstorage.mncdn.com/ilanfotograflari/2026/02/27/38286875/78146151-bf3a-473b-b5df-1900099a8dbd_image_for_silan_38286875_580x435.jpg,2026-03-14 10:07:22.631459+00,Tamamı orjinal,136 hp
f05c59e2-581d-4682-829c-764b552266ac,https://www.arabam.com/ilan/galeriden-satilik-bmw-3-serisi-320i-ed-sport-line/hitit-otomotiv-den-hatasiz-ayarinda-bmw-320i-ed-sport-line/37756810,BMW,320i ED Sport Line,2013,204000,60 lt,Otomatik,1345000,Beyaz,Sedan,https://arbstorage.mncdn.com/ilanfotograflari/2026/02/10/37756810/7cafcbf5-c523-4520-ad6e-eb4e415e4401_image_for_silan_37756810_580x435.jpg,2026-03-14 10:07:24.897586+00,1 lokal boyalı,170 hp
1b4c9967-06b7-477a-83d9-955333ea0bbc,https://www.arabam.com/ilan/galeriden-satilik-bmw-3-serisi-320i-ed-sport-line/2013-320i-ed-m-sport-f30-km-190-bin-hatasiz-emsalsiz-full-full/36143849,BMW,320i ED Sport Line,2013,192000,60 lt,Otomatik,1319000,Beyaz,Sedan,https://arbstorage.mncdn.com/ilanfotograflari/2025/12/23/36143849/4a4e28ad-68a1-49fb-9bce-51123c8b8364_image_for_silan_36143849_580x435.jpg,2026-03-14 10:07:27.842286+00,Tamamı orjinal,170 hp
b9a44c84-51c7-4f98-9cf7-84499ba8db22,https://www.arabam.com/ilan/galeriden-satilik-bmw-i-serisi-i5-edrive-40-m-sport/2025-model-bmw-i5-20-jant-b-wilks-4k-isitma-sogutma-m5-panjur/37630288,BMW,i5 eDrive 40 M Sport,2025,6001,Elektrik,Otomatik,5900000,Siyah,Sedan,https://arbstorage.mncdn.com/ilanfotograflari/2026/02/07/37630288/4c1f6131-339c-430b-baf9-037927f9701b_image_for_silan_37630288_580x435.jpg,2026-03-14 10:07:30.900118+00,Tamamı orjinal,201 - 225 HP
3619a46e-6405-46e1-a0a9-b52f8d2b4372,https://www.arabam.com/ilan/galeriden-satilik-bmw-3-serisi-320i/60-bin-km-de-techno-plus-3-20-184-hp-katlanir-ayna-geri-kamera-tam-deri-koltuk-sunroof/38694554,BMW,320i,2013,67234,60 lt,Otomatik,1859000,Gri (metalik),Sedan,https://arbstorage.mncdn.com/ilanfotograflari/2026/03/13/38694554/7676a269-8527-4d3c-abcf-b0be56d2a800_image_for_silan_38694554_580x435.jpg,2026-03-14 10:07:33.724639+00,"2 boyalı, 2 lokal boyalı",184 hp
80460dbe-61f1-4ddd-938c-5b0c73c6d930,https://www.arabam.com/ilan/galeriden-satilik-bmw-3-serisi-320i-ed-sport-line/2016-bmw-f30-320i-ed-sportline-sunroof/38330618,BMW,320i ED Sport Line,2016,100600,Benzin,Otomatik,1669000,Siyah,Sedan,https://arbstorage.mncdn.com/ilanfotograflari/2026/03/01/38330618/cda0b278-de5b-4cf0-9953-9eebf1c1e8d1_image_for_silan_38330618_580x435.jpg,2026-03-14 10:07:36.915162+00,"4 boyalı, 3 lokal boyalı",151 - 175 HP
68d7f01a-8a4d-43ae-b040-78008e1be3e6,https://www.arabam.com/ilan/galeriden-satilik-bmw-3-serisi-320i-ed-edition/2026-cikisli-san-marino-m-sport-50-jahre-editio-tam-dolu/37798921,BMW,320i ED Edition,2025,6001,Benzin,Otomatik,5595000,Mavi,Sedan,https://arbstorage.mncdn.com/ilanfotograflari/2026/02/11/37798921/70ca85f4-d91b-4842-966f-ac068e8b16e7_image_for_silan_37798921_580x435.jpg,2026-03-14 10:07:40.135997+00,Tamamı orjinal,151 - 175 HP
3a590758-8a80-4cce-a814-d09ceeca5270,https://www.arabam.com/ilan/galeriden-satilik-bmw-1-serisi-116i-premium/2011-model-1-16-i-otomatik-vites-153000-kmde-3-parca-boyali-sanrouflu/38678401,BMW,116i Premium,2011,153000,53 lt,Otomatik,899000,Siyah,Hatchback/5,https://arbstorage.mncdn.com/ilanfotograflari/2026/03/12/38678401/d0811857-b45e-491c-8c08-b3599aac61ec_image_for_silan_38678401_580x435.jpg,2026-03-14 10:07:43.369272+00,5 boyalı,116 hp
